cod_cliente;Escolaridade;Tem Filhos;Salário;Idade;Estado Civil;Profissão;Número de Cartões de Crédito;cod_estado
115;Superior;Não;9865.27;54.1;Casado;Estudante;3;7
116;Médio;Sim;8257.67;49.68;Divorciado;Professor;3;26
117;Fundamental;Sim;5766.51;64.67;Casado;Advogado;3;20
118;Fundamental;Sim;1688.76;22.05;Casado;Estudante;3;27
119;Pós-Graduação;Sim;8216.43;68.25;Viúvo;Artista;1;20
120;Superior;Não;5134.09;65.41;Solteiro;Artista;1;19
121;Médio;Não;5580.46;37.24;Divorciado;Professor;0;6
122;Superior;Sim;6632.02;25.44;Solteiro;Médico;3;14
123;Pós-Graduação;Sim;3386.48;26.17;;Artista;3;25
124;Superior;Não;2457.49;50.94;Casado;Empresário;0;5
125;Médio;Não;2800.89;63.13;Viúvo;Advogado;3;11
126;Superior;Não;8695.04;66.84;Solteiro;Estudante;3;9
127;Fundamental;Não;7998.37;33.2;Divorciado;Médico;1;19
128;Médio;Sim;7114.67;75.53;Divorciado;Estudante;0;17
129;Pós-Graduação;Sim;2687.38;54.42;Casado;Professor;1;8
130;Pós-Graduação;Não;7421.44;77.07;Viúvo;Estudante;1;20
131;Fundamental;Sim;6088.32;40.98;Divorciado;Empresário;3;17
132;Médio;Sim;4875.95;60.42;Casado;Artista;1;11
133;Pós-Graduação;Não;5865.49;56.29;Divorciado;Outros;1;1
134;Fundamental;Sim;4433.06;50.15;Casado;Estudante;3;11
135;Superior;Sim;4815.51;50.54;Casado;Estudante;3;3
136;Pós-Graduação;Não;9891.31;41.35;Solteiro;Advogado;0;23
137;Pós-Graduação;Não;4762.32;51.98;Solteiro;Advogado;0;20
138;Superior;Não;1517.07;35.45;Solteiro;Outros;3;18
139;Pós-Graduação;Não;2435.55;71.79;Viúvo;Artista;2;2
140;Fundamental;Não;7709.7;51.89;Viúvo;Outros;0;17
141;Médio;Não;6533.69;28.23;Viúvo;Médico;1;11
142;Superior;Sim;5612.57;77.67;Casado;Estudante;2;18
143;Médio;Não;7737.24;70.31;Solteiro;Estudante;3;20
144;Superior;Sim;9362.34;62.32;Divorciado;Artista;0;17
145;Fundamental;Não;7302.82;53.44;Viúvo;Professor;2;24
146;Superior;Não;4216.46;35.74;Casado;Médico;2;8
147;Médio;Não;3768.48;29.54;Viúvo;Professor;2;19
148;Superior;Sim;1164.85;45.09;Casado;Engenheiro;2;5
149;Fundamental;Sim;1578.15;66.85;Viúvo;Artista;1;6
150;Superior;Sim;8428.4;53.86;Divorciado;Empresário;1;9
151;Médio;Sim;4408.34;20.61;Solteiro;Advogado;0;15
152;Médio;Sim;7493.27;43.69;Casado;Empresário;0;1
153;Superior;Não;3096.99;58.27;Viúvo;Professor;0;21
154;Superior;Não;6798.13;63.61;Divorciado;Outros;2;19
155;Pós-Graduação;Sim;4157.41;67.04;Casado;Estudante;1;2
156;Fundamental;Não;3518.65;72.71;Divorciado;Estudante;2;20
157;Fundamental;Sim;3823.38;65.33;Casado;Estudante;1;8
158;Médio;Não;4526.98;60.64;Divorciado;Professor;0;2
159;Médio;Não;9783.31;56.94;Divorciado;Advogado;1;21
160;Fundamental;Não;1597.3;32.58;Viúvo;Professor;0;23
161;Médio;Não;8934.39;77.4;Divorciado;Advogado;2;20
162;Superior;Não;4328.24;60.59;Divorciado;Médico;3;14
163;Médio;Sim;6217.92;73.27;Viúvo;Outros;3;24
164;Fundamental;Não;5915.83;74.32;Casado;Advogado;0;16
165;Superior;Sim;6259.99;61.76;Divorciado;Empresário;2;25
166;Fundamental;Sim;5039.18;40.31;Casado;Estudante;1;9
167;Superior;Sim;9987.81;58.61;Solteiro;Artista;1;12
168;Médio;Sim;6850.56;69.36;Solteiro;Engenheiro;2;11
169;Médio;Sim;3493.79;49.44;Solteiro;Professor;1;3
170;Pós-Graduação;Sim;9934.44;62.66;Solteiro;Médico;3;14
171;Pós-Graduação;Sim;7288.12;33.93;Divorciado;Advogado;3;25
172;Pós-Graduação;Não;7741.84;32.74;Viúvo;Engenheiro;3;20
173;Fundamental;Sim;9109.09;23.06;Viúvo;Empresário;3;14
174;Superior;Não;7284.77;28.17;Casado;Engenheiro;3;15
175;Pós-Graduação;Sim;7536.73;39.61;Viúvo;Engenheiro;3;2
176;Superior;Sim;3786.98;25.15;Solteiro;Outros;0;19
177;Pós-Graduação;Não;4261.35;38.47;Viúvo;Empresário;2;7
178;Médio;Não;4698.66;51.65;Solteiro;Artista;1;3
179;Médio;Sim;5715.74;51.6;Casado;Artista;3;15
180;Fundamental;Sim;3180.01;22.85;Solteiro;Artista;0;2
181;Pós-Graduação;Não;3199.0;18.02;Casado;Outros;1;7
182;Superior;Não;9657.69;26.97;Casado;Advogado;1;23
183;Fundamental;Sim;6046.07;60.47;Divorciado;Outros;3;21
184;Fundamental;Não;1437.36;41.23;Casado;Outros;2;20
185;Superior;Não;6221.6;47.46;Viúvo;Estudante;0;24
186;Pós-Graduação;Sim;3260.52;52.5;Solteiro;Empresário;1;14
187;Superior;Sim;2556.45;68.79;Divorciado;Médico;0;25
188;Pós-Graduação;Sim;8337.29;41.18;Solteiro;Médico;3;12
189;Superior;Sim;7788.72;29.25;Divorciado;Engenheiro;1;16
190;Superior;Não;7725.07;48.47;Divorciado;Médico;1;5
191;Médio;Sim;7646.38;68.73;;Outros;3;16
192;Pós-Graduação;Não;4903.96;55.86;Solteiro;Empresário;0;10
193;Superior;Não;1871.64;26.93;Solteiro;Outros;1;22
194;Médio;Não;1694.14;55.29;Divorciado;Empresário;1;1
195;Médio;Não;2841.95;63.07;Viúvo;Outros;1;27
196;Pós-Graduação;Não;9042.75;76.34;Casado;Professor;1;11
197;Fundamental;Não;8801.09;55.83;Divorciado;Advogado;1;19
198;Pós-Graduação;Sim;9313.13;35.62;Casado;Estudante;2;7
199;Pós-Graduação;Não;1881.04;78.24;Divorciado;Advogado;0;18
200;Superior;Não;3162.67;59.08;Viúvo;Médico;3;1
201;Médio;Não;1364.48;29.19;Viúvo;Empresário;2;24
202;Pós-Graduação;Sim;6713.52;38.47;Solteiro;Outros;1;15
203;Superior;Sim;6426.24;33.31;Casado;Estudante;0;18
204;Fundamental;Sim;7851.18;21.39;Casado;Médico;1;16
205;Superior;Sim;3410.23;74.03;Viúvo;Advogado;1;6
206;Fundamental;Sim;5587.7;26.49;Divorciado;Estudante;1;14
207;Superior;Não;3062.93;47.41;Casado;Engenheiro;0;6
208;Superior;Sim;4046.69;18.22;Divorciado;Advogado;2;10
209;Fundamental;Sim;8783.35;19.16;Casado;Professor;2;24
210;Pós-Graduação;Não;3053.9;59.46;Solteiro;Artista;1;25
211;Fundamental;Não;3313.87;46.81;Divorciado;Advogado;0;18
212;Pós-Graduação;Não;7102.45;19.49;Casado;Outros;3;24
213;Superior;Sim;9083.92;52.29;Divorciado;Advogado;0;22
214;Fundamental;Não;4376.34;63.55;Solteiro;Advogado;3;20
215;Pós-Graduação;Não;8932.84;36.12;Viúvo;Estudante;2;12
216;Superior;Não;5195.92;35.7;Solteiro;Engenheiro;3;25
217;Médio;Não;8078.5;30.13;Casado;Outros;1;2
218;Pós-Graduação;Não;1463.66;40.37;Divorciado;Estudante;2;25
219;Superior;Sim;5879.79;47.79;Viúvo;Estudante;0;25
220;Pós-Graduação;Sim;6938.33;65.02;Divorciado;Empresário;3;10
221;Superior;Sim;9734.3;39.4;Casado;Estudante;2;4
222;Médio;Sim;4809.17;29.88;Divorciado;Advogado;3;26
223;Pós-Graduação;Sim;9931.83;22.97;Viúvo;Advogado;3;5
224;Superior;Sim;4595.58;27.16;Casado;Advogado;2;13
225;Superior;Sim;8325.4;41.77;Solteiro;Professor;0;14
226;Fundamental;Sim;2290.13;32.54;Casado;Professor;1;23
227;Médio;Não;3672.45;58.38;Solteiro;Engenheiro;2;13
228;Fundamental;Não;1739.12;68.28;Viúvo;Artista;3;2
229;Fundamental;Não;4926.38;23.2;Divorciado;Empresário;1;21
230;Pós-Graduação;Não;9229.32;64.87;Divorciado;Artista;2;7
231;Pós-Graduação;Sim;3924.39;54.42;Solteiro;Médico;3;9
232;Médio;Sim;3346.82;70.83;Viúvo;Professor;0;9
233;Pós-Graduação;Sim;1492.25;27.36;Viúvo;Advogado;2;15
234;Fundamental;Não;3065.67;53.13;Casado;Professor;0;6
235;Pós-Graduação;Sim;1005.5;50.81;Solteiro;Engenheiro;2;11
236;Médio;Não;9590.05;48.84;Solteiro;Professor;1;25
237;Superior;Não;9383.47;48.82;Solteiro;Professor;2;10
238;Superior;Não;2087.98;50.44;Casado;Engenheiro;3;21
239;Médio;Não;4403.14;68.97;Viúvo;Professor;0;4
240;Fundamental;Não;9245.17;53.18;Solteiro;Advogado;2;20
241;Pós-Graduação;Sim;9900.83;70.77;Divorciado;Outros;1;2
242;Superior;Não;2745.74;31.4;Solteiro;Estudante;2;16
243;Fundamental;Não;3525.0;74.52;Solteiro;Artista;3;9
244;Superior;Não;8622.77;41.71;Casado;Artista;2;4
245;Pós-Graduação;Não;9421.73;64.1;Viúvo;Outros;3;2
246;Médio;Sim;8931.51;57.42;;Advogado;1;23
247;Fundamental;Não;8381.86;63.52;Divorciado;Estudante;1;8
248;Superior;Sim;1621.65;52.01;Casado;Advogado;3;3
249;Superior;Não;1851.1;55.18;Casado;Outros;2;3
250;Médio;Não;5037.33;74.17;Solteiro;Outros;1;10
251;Pós-Graduação;Não;2706.34;25.0;Casado;Outros;3;15
252;Superior;Não;3809.06;76.54;Casado;Advogado;1;13
253;Pós-Graduação;Sim;9929.07;24.71;Casado;Artista;2;12
254;Fundamental;Não;7644.44;70.06;Divorciado;Empresário;0;2
255;Fundamental;Sim;7955.71;37.13;Casado;Estudante;3;21
256;Pós-Graduação;Sim;7304.29;61.87;Divorciado;Artista;2;9
257;Médio;Sim;5748.24;65.82;Casado;Artista;2;9
258;Médio;Não;1787.42;55.33;Casado;Professor;3;27
259;Fundamental;Não;7865.36;77.69;Divorciado;Estudante;2;13
260;Superior;Sim;4864.7;52.14;Viúvo;Engenheiro;3;12
261;Médio;Sim;8995.83;54.35;Viúvo;Artista;1;7
262;Médio;Sim;8086.09;71.41;Casado;Artista;0;12
263;Superior;Sim;9921.38;37.37;Casado;Professor;1;2
264;Pós-Graduação;Não;6088.17;43.95;Viúvo;Advogado;0;5
265;Pós-Graduação;Sim;5456.36;70.26;Divorciado;Engenheiro;1;3
266;Médio;Não;1119.61;27.67;Casado;Artista;1;25
267;Superior;Sim;3639.96;71.63;Solteiro;Advogado;0;14
268;Fundamental;Sim;1669.62;69.66;Solteiro;Professor;3;18
269;Fundamental;Não;5917.81;36.53;Viúvo;Médico;3;3
270;Pós-Graduação;Não;2041.38;25.3;Solteiro;Professor;2;24
271;Superior;Sim;8253.38;60.56;Viúvo;Advogado;2;9
272;Médio;Sim;4657.21;41.48;Divorciado;Advogado;2;26
273;Fundamental;Sim;6122.35;68.62;Casado;Empresário;1;7
274;Pós-Graduação;Sim;3566.95;18.25;Solteiro;Médico;2;13
275;Pós-Graduação;Sim;9391.63;31.4;Casado;Outros;0;10
276;Pós-Graduação;Sim;6098.74;20.68;Divorciado;Estudante;3;1
277;Fundamental;Sim;4431.71;74.59;Casado;Artista;0;6
278;Fundamental;Sim;8714.68;75.63;Divorciado;Médico;3;20
279;Pós-Graduação;Não;6045.07;66.26;Divorciado;Advogado;1;21
280;Pós-Graduação;Não;7163.59;58.8;Viúvo;Empresário;1;1
281;Superior;Não;4614.74;43.33;Casado;Engenheiro;0;5
282;Médio;Sim;3291.5;21.9;;Empresário;2;23
283;Pós-Graduação;Sim;2703.25;74.05;Viúvo;Engenheiro;1;25
284;Médio;Sim;4771.45;59.48;Casado;Engenheiro;2;16
285;Médio;Não;2446.41;63.85;Solteiro;Estudante;0;18
286;Médio;Sim;2917.27;76.64;Divorciado;Professor;3;6
287;Médio;Não;4378.32;62.64;Casado;Outros;1;16
288;Fundamental;Não;9394.49;65.45;Divorciado;Professor;1;19
289;Médio;Não;2716.71;22.76;Divorciado;Advogado;0;4
290;Médio;Sim;8119.96;52.84;Viúvo;Professor;3;18
291;Fundamental;Não;4400.05;55.04;Casado;Artista;2;19
292;Pós-Graduação;Sim;8377.12;28.15;Solteiro;Outros;0;2
293;Fundamental;Não;9436.54;25.1;Casado;Artista;2;13
294;Fundamental;Sim;7527.95;76.87;Divorciado;Outros;1;13
295;Pós-Graduação;Não;7998.14;55.6;Viúvo;Professor;1;6
296;Superior;Não;5129.64;49.89;Divorciado;Advogado;2;1
297;Fundamental;Sim;6847.82;31.09;Viúvo;Médico;2;26
298;Fundamental;Sim;3543.49;58.18;Divorciado;Advogado;3;3
299;Médio;Não;2930.84;67.46;Solteiro;Artista;0;16
300;Pós-Graduação;Não;3843.24;75.71;Solteiro;Empresário;0;10
301;Superior;Não;8392.07;23.32;Solteiro;Artista;0;26
302;Médio;Não;5650.27;48.63;Divorciado;Médico;0;6
303;Superior;Não;7768.36;42.11;Viúvo;Médico;2;16
304;Fundamental;Não;1607.38;59.67;Solteiro;Engenheiro;1;11
305;Superior;Não;9395.9;61.89;Solteiro;Outros;2;27
306;Superior;Sim;3341.36;61.54;Solteiro;Empresário;1;26
307;Médio;Não;4324.84;54.1;Viúvo;Engenheiro;0;23
308;Fundamental;Não;7014.28;69.42;Casado;Estudante;0;6
309;Superior;Sim;4008.19;30.58;Solteiro;Professor;2;20
310;Médio;Sim;6891.93;47.65;Solteiro;Outros;0;5
311;Pós-Graduação;Não;3038.64;75.24;Casado;Outros;2;16
312;Médio;Sim;2467.71;62.47;Solteiro;Médico;3;2
313;Pós-Graduação;Não;8463.01;73.55;Viúvo;Médico;1;15
314;Médio;Não;6200.03;21.64;Viúvo;Artista;0;5
315;Pós-Graduação;Não;9187.2;25.05;Solteiro;Artista;1;4
316;Pós-Graduação;Sim;9436.82;21.15;Divorciado;Advogado;1;18
317;Médio;Sim;7627.33;42.93;Solteiro;Advogado;1;21
318;Pós-Graduação;Sim;6111.04;66.18;Divorciado;Estudante;0;20
319;Fundamental;Sim;6482.79;24.27;Casado;Empresário;2;3
320;Pós-Graduação;Não;3138.9;39.39;Casado;Outros;3;12
321;Fundamental;Sim;1391.98;78.54;Divorciado;Estudante;3;21
322;Superior;Não;3867.26;55.07;Solteiro;Outros;2;18
323;Médio;Sim;6587.68;47.16;Divorciado;Outros;3;17
324;Pós-Graduação;Sim;7568.42;65.77;Divorciado;Outros;2;4
325;Fundamental;Sim;1777.23;41.34;Solteiro;Advogado;3;13
326;Médio;Não;8773.57;67.94;Divorciado;Advogado;1;17
327;Fundamental;Não;4911.0;47.65;Viúvo;Empresário;0;1
328;Pós-Graduação;Não;9440.17;65.4;Solteiro;Médico;1;14
329;Superior;Sim;7023.27;19.65;Viúvo;Estudante;2;27
330;Fundamental;Não;9216.16;74.2;Viúvo;Outros;0;18
331;Pós-Graduação;Não;7766.04;59.5;Viúvo;Médico;0;13
332;Superior;Sim;5566.13;68.19;Viúvo;Artista;3;11
333;Superior;Sim;8032.85;74.06;Viúvo;Empresário;1;27
334;Superior;Não;2804.06;49.5;Viúvo;Engenheiro;2;12
335;Médio;Sim;3973.66;62.11;Divorciado;Artista;0;16
336;Pós-Graduação;Sim;5299.0;46.74;Solteiro;Outros;0;3
337;Fundamental;Sim;6476.73;36.46;Viúvo;Advogado;3;23
338;Fundamental;Não;5876.12;79.19;Solteiro;Professor;1;26
339;Fundamental;Não;6557.25;52.54;Viúvo;Estudante;0;23
340;Superior;Sim;7313.76;25.58;Solteiro;Professor;1;16
341;Fundamental;Sim;7360.56;77.73;Viúvo;Estudante;1;27
342;Médio;Sim;9120.97;56.9;;Professor;2;20
343;Pós-Graduação;Não;6627.19;45.56;Viúvo;Empresário;3;17
344;Médio;Não;6083.62;67.49;Solteiro;Advogado;2;11
345;Pós-Graduação;Não;7042.78;77.99;Casado;Engenheiro;3;22
346;Médio;Sim;4677.27;58.53;Viúvo;Estudante;2;1
347;Pós-Graduação;Sim;3148.26;27.32;Casado;Estudante;1;17
348;Médio;Não;4242.33;19.69;Solteiro;Médico;3;5
349;Fundamental;Sim;6554.05;74.2;Viúvo;Professor;3;8
350;Médio;Não;1065.81;65.9;Viúvo;Engenheiro;2;18
351;Fundamental;Sim;6771.65;42.54;Divorciado;Médico;1;14
352;Superior;Não;3145.64;60.98;Divorciado;Engenheiro;0;3
353;Fundamental;Não;4412.37;63.36;Solteiro;Médico;2;24
354;Fundamental;Sim;5903.8;60.37;Divorciado;Advogado;0;9
355;Médio;Sim;3005.0;69.59;Viúvo;Advogado;2;7
356;Médio;Sim;7210.07;25.22;Viúvo;Empresário;1;8
357;Pós-Graduação;Não;5322.69;29.96;Solteiro;Médico;1;23
358;Pós-Graduação;Sim;2267.03;23.72;Casado;Artista;0;4
359;Médio;Não;6725.39;24.37;Viúvo;Médico;0;26
360;Pós-Graduação;Não;6281.69;34.52;Viúvo;Estudante;3;8
361;Fundamental;Não;7225.19;79.7;Solteiro;Outros;1;17
362;Fundamental;Sim;1926.1;34.99;Casado;Médico;0;4
363;Médio;Sim;2806.1;55.51;Divorciado;Estudante;1;7
364;Fundamental;Não;7252.47;33.14;Divorciado;Advogado;0;9
365;Pós-Graduação;Sim;6504.35;51.0;Solteiro;Advogado;1;27
366;Fundamental;Não;8386.7;64.78;Solteiro;Artista;1;3
367;Médio;Não;2548.55;62.44;Viúvo;Engenheiro;2;6
368;Fundamental;Sim;4095.6;66.24;Divorciado;Advogado;2;23
369;Superior;Sim;6632.19;72.6;Solteiro;Professor;1;6
370;Pós-Graduação;Não;2613.51;35.24;Casado;Médico;0;21
371;Médio;Não;1307.7;35.27;Solteiro;Professor;3;2
372;Médio;Sim;4896.7;58.69;Divorciado;Advogado;3;25
373;Médio;Não;6130.28;45.04;Casado;Advogado;1;19
374;Pós-Graduação;Sim;3857.64;49.61;Casado;Médico;2;21
375;Superior;Sim;9394.7;39.21;Solteiro;Outros;2;19
376;Médio;Não;6891.34;29.64;Divorciado;Professor;0;24
377;Fundamental;Não;8739.7;37.81;Casado;Estudante;2;25
378;Fundamental;Sim;5637.98;51.46;Divorciado;Professor;1;27
379;Superior;Sim;9011.64;52.34;Viúvo;Advogado;3;19
380;Superior;Sim;9082.35;55.78;Solteiro;Artista;1;26
381;Pós-Graduação;Sim;6116.63;34.31;Viúvo;Estudante;3;24
382;Superior;Não;9238.32;63.83;Viúvo;Empresário;2;5
383;Médio;Não;7461.13;68.22;Divorciado;Estudante;0;22
384;Fundamental;Não;1248.93;60.64;Casado;Empresário;0;15
385;Fundamental;Não;3324.35;40.24;Solteiro;Médico;3;4
386;Fundamental;Sim;1702.72;22.24;Casado;Advogado;0;15
387;Fundamental;Não;6097.68;26.23;Viúvo;Engenheiro;2;25
388;Médio;Não;7942.79;79.17;Casado;Empresário;2;27
389;Superior;Sim;9673.81;24.36;Solteiro;Outros;1;9
390;Médio;Não;7366.94;63.72;Viúvo;Médico;1;17
391;Médio;Sim;5375.23;35.65;Solteiro;Empresário;1;27
392;Fundamental;Sim;9334.78;70.42;Casado;Estudante;3;20
393;Superior;Sim;8522.54;72.98;Casado;Estudante;2;22
394;Pós-Graduação;Sim;1434.93;36.79;Casado;Advogado;3;3
395;Superior;Não;7444.94;21.85;Casado;Outros;3;6
396;Superior;Não;1264.5;57.84;Casado;Estudante;1;5
397;Médio;Não;1282.18;62.39;Casado;Engenheiro;1;1
398;Pós-Graduação;Não;3058.52;53.7;Viúvo;Artista;0;21
399;Fundamental;Não;9259.19;27.34;Casado;Engenheiro;3;3
400;Superior;Não;4546.2;18.08;Solteiro;Estudante;3;9
401;Superior;Não;9236.29;41.89;Casado;Outros;0;4
402;Superior;Não;1715.88;50.75;Divorciado;Estudante;1;2
